hospital_name,municipality,cmun,n_beds,type,management,latitude,longitude
Hospital Universitario San Juan De Alicante,sant joan d'alacant,31199,396,General,Autonomous Community,38.4062900000001,-0.430915316999972
Centro Médico Acuario,beniarbeig,30263,19,General,Private Non-Profit,38.8265884460001,0.0022818520000669
Hospìtal Quironsalud Torrevieja,torrevieja,31339,132,General,Private Non-Profit,37.9963845,-0.68721974999994
Hospital Imed Levante,alicante/alacant,30149,100,General,Private Non-Profit,38.5424209220001,-0.105182876999947
Hospital Universitario De Torrevieja,torrevieja,31339,269,General,Autonomous Community,37.96333845,-0.715745823999953
Hospital De Denia,dénia,30633,266,General,Autonomous Community,38.834226416,0.059298138000031
Hospital La Pedrera,dénia,30633,107,Geriatrics and/or long-term care,Autonomous Community,38.8280655520001,0.0962855270000205
Centro De Rehabilitación Neurológica Casaverde,mutxamel,30909,40,Psychophysical rehabilitation,Private Non-Profit,38.4205918150001,-0.469911158999935
Hospital Universitario Vinalopo,elche/elx,30651,214,General,Autonomous Community,38.25534043,-0.716007419999926
Hospital Imed Elche,elche/elx,30651,98,General,Private Non-Profit,38.2872604250001,-0.619072321999965
Hospital Torrecárdenas,almería,40139,0,General,Autonomous Community,36.8625943370001,-2.44117664699996
Hospital De La Cruz Roja,almería,40139,0,General,Autonomous Community,36.8483476700001,-2.45159449699997
Hospital Virgen Del Mar,almería,40139,76,General,Private Non-Profit,36.846256694,-2.44158688699997
Hospital La Inmaculada,huércal-overa,40530,184,General,Autonomous Community,37.4010425220001,-1.94182956099996
Hospital Universitario Torrecárdenas,almería,40139,763,General,Autonomous Community,36.862522305,-2.44676488199997
Hospital Mediterráneo,almería,40139,89,General,Private Non-Profit,36.820818758,-2.43622418699994
Hospital De Poniente,"ejido, el",49026,273,General,Autonomous Community,36.753204591,-2.80315336199993
Hospital De Alta Resolución El Toyo,almería,40139,44,General,Autonomous Community,36.8507955330001,-2.31270496099995
Hospital Nuestra Señora De Sonsoles,ávila,50198,0,General,Social Security,40.6657735160001,-4.66684443499997
Hospital Provincial De Ávila,ávila,50198,0,General,Autonomous Community,40.6498453730001,-4.69258059499998
Clínica Santa Teresa,ávila,50198,33,General,Private Non-Profit,40.659390253,-4.68613007899995
Complejo Asistencial De Avila,ávila,50198,430,General,Public Entities,40.670384359,-4.65236210299997
Hospital De Salud Mental Casta Salud Arévalo,arévalo,50163,80,Psychiatric,Private Non-Profit,41.0448778470001,-4.71677207999994
Complejo Hospitalario Universitario De Badajoz,badajoz,60153,915,General,Autonomous Community,38.8815659730001,-7.01404083799997
Hospital Universitario De Badajoz,badajoz,60153,0,General,Autonomous Community,38.8844827790001,-7.00109820999995
Hospital Materno Infantil,badajoz,60153,0,Maternal-infant,Autonomous Community,38.8658347890001,-6.97107178199997
"Hospital ""Fundación San Juan De Dios De Extremadura""",almendralejo,60114,105,Geriatrics and/or long-term care,Private Non-Profit (Church),38.6805420000001,-6.40527299999997
Hospital Don Benito-Villanueva De La Serena,don benito,60444,0,General,Autonomous Community,38.9637099400001,-5.82715002199996
Hospital General De Llerena,llerena,60747,0,General,Social Security,38.2429309440001,-6.01344522999995
Hospital De Mérida,mérida,60830,0,General,Autonomous Community,38.912245028,-6.36353299299998
Centro Sociosanitario De Mérida,mérida,60830,270,Psychiatric,Autonomous Community,38.9225207170001,-6.30998002999996
Hospital Quirónsalud Santa Justa,villanueva de la serena,61535,29,Surgical,Municipality,38.9733629360001,-5.79537839099993
Hospital Quironsalud Clideba,badajoz,60153,73,General,Private Non-Profit,38.871242298,-6.99052779699997
Hospital Parque Via De La Plata,zafra,61588,9,General,Private Non-Profit,38.42472244,-6.41131180099995
Hospital De Zafra,zafra,61588,0,General,Autonomous Community,38.430433522,-6.42190768899997
Complejo Hospitalario Llerena-Zafra,llerena,60747,227,General,Autonomous Community,38.2435983080001,-6.01289591399996
Hospital Perpetuo Socorro,badajoz,60153,0,General,Autonomous Community,38.862686169,-6.97129734699996
Hospital Siberia-Serena,talarrubias,61279,0,General,Autonomous Community,39.03111311,-5.22370053299994
Hospital Tierra De Barros,almendralejo,60114,0,General,Autonomous Community,38.6557946520001,-6.37678293099998
Complejo H. Don Benito-Vva De La Serena,don benito,60444,320,General,Autonomous Community,38.9631435920001,-5.82737233199992
Complejo Hospitalario Del Área De Salud De Mérida,mérida,60830,381,General,Public Entities,38.912498989,-6.35905260999994
Casaverde. Centro De Rehabilitación Neurológico De Extremadura,mérida,60830,100,Psychophysical rehabilitation,Private Non-Profit,38.910846694,-6.37170538399994
Clínica Extremeña De Salud,badajoz,60153,20,General,Private Non-Profit,38.890250571,-6.99887138699995
Hospital Parque Vegas Altas,don benito,60444,21,General,Private Non-Profit,38.963340514,-5.85651091899996
Hospital General De Mallorca,palma de mallorca,70407,100,Geriatrics and/or long-term care,Provincial Council or Island Council,39.574279549,2.64707371700007
Hospital Psiquiàtric,palma de mallorca,70407,168,Psychiatric,Provincial Council or Island Council,39.5955697570001,2.62975402500007
Clínica Mutua Balear,palma de mallorca,70407,40,Traumatology and/or rehabilitation,Matep,39.5751854380001,2.64645796300005
Hospital De La Cruz Roja Española,palma de mallorca,70407,73,Medical-surgical,Private Non-Profit (Red Cross),39.5882063240001,2.66033500000003
Hospital Sant Joan De Deu,palma de mallorca,70407,200,Medical-surgical,Private Non-Profit (Church),39.547112616,2.69857244700006
Clínica Rotger,palma de mallorca,70407,186,General,Private Non-Profit,39.5757506890001,2.64690199100005
Clinica Juaneda,palma de mallorca,70407,196,General,Private Non-Profit,39.5763787020001,2.62792847600002
Policlínica Miramar,palma de mallorca,70407,206,General,Private Non-Profit,39.583598678,2.63040238600007
Hospital Joan March,bunyola,70103,106,Geriatrics and/or long-term care,Autonomous Community,39.6790908450001,2.68859236300005
Hospital Can Misses,eivissa,70260,245,General,Social Security,38.9165045990001,1.41858425400005
Hospital Residencia Asistida Cas Serres,eivissa,70260,5,Other purpose,Provincial Council or Island Council,38.9016802350001,1.41240417100005
"Policlínica Nuestra Señora Del Rosario, S.A.",eivissa,70260,70,General,Private Non-Profit,38.906784676,1.42834415100003
Clínica Juaneda Menorca,ciutadella de menorca,70159,41,General,Private Non-Profit,40.0050092970001,3.84159790500007
Hospital General De Muro,muro,70393,85,General,Private Non-Profit,39.809001569,3.10810000000004
Clinica Juaneda Mahon,maó-mahón,70321,18,General,Private Non-Profit,39.885291253,4.25629274100004
Hospital Manacor,manacor,70337,224,General,Social Security,39.578673241,3.20766748900007
Hospital Son Llatzer,palma de mallorca,70407,419,General,Social Security,39.57344018,2.70344797500007
Hospital Quirónsalud Palmaplanas,palma de mallorca,70407,169,General,Private Non-Profit,39.5977609280001,2.64240311100002
Hospital De Formentera,formentera,70244,12,General,Autonomous Community,38.7071444600001,1.43492994300004
Hospital Comarcal D'Inca,inca,70276,165,General,Autonomous Community,39.715851582,2.92139715100006
Hospital Mateu Orfila,maó-mahón,70321,142,General,Autonomous Community,39.8811165270001,4.25253375800003
Hospital Universitari Son Espases,palma de mallorca,70407,839,General,Social Security,39.607233159,2.64475505300004
Hospital De Llevant,manacor,70337,70,General,Private Non-Profit,39.5414154270001,3.33389411300004
Hospital Clinic Balear,llucmajor,70316,34,General,Private Non-Profit,39.4910224280001,2.73992269800004
Clínica Luz De Palma,palma de mallorca,70407,38,General,Private Non-Profit,39.5671174570001,2.62426886100008
"Hospital Clínic De Barcelona, Seu Sabino De Arana",barcelona,80193,130,Maternal-infant,Provincial Council or Island Council,41.385470302,2.12662840300004
Hospital Del Mar.,barcelona,80193,470,General,Municipality,41.3833545360001,2.19475872400005
Hospital De L'Esperança.,barcelona,80193,161,General,Municipality,41.4109659390001,2.15434853400006
Hospital Clínic De Barcelona,barcelona,80193,844,General,Autonomous Community,41.389418117,2.15150438000006
Hospital Fremap Barcelona,barcelona,80193,62,General,Matep,41.401397074,2.15046879600004
Centre De Prevenció I Rehabilitació Asepeyo,sant cugat del vallès,82055,138,General,Social Security,41.491741846,2.07632056200003
Clínica Mc Copèrnic,barcelona,80193,60,General,Matep,41.4011298300001,2.14118014100006
Clínica Mc Londres,barcelona,80193,22,General,Matep,41.3892897910001,2.14527532900007
Hospital Egarsat Sant Honorat,barcelona,80193,14,General,Social Security,41.4122081890001,2.13609127700005
Hospital Dos De Maig,barcelona,80193,229,General,Private Non-Profit (Red Cross),41.410727707,2.17709880600006
Hospital El Pilar,barcelona,80193,186,General,Private Non-Profit,41.400491951,2.14852929600005
Hospital Sant Rafael,barcelona,80193,213,General,Private Non-Profit (Church),41.425661242,2.14243667300002
Clínica Nostra Senyora Del Remei,barcelona,80193,134,General,Private Non-Profit (Church),41.409541006,2.15929057100004
Clínica Sagrada Família,barcelona,80193,150,General,Private Non-Profit,41.400656612,2.13479069100003
Hospital Mare De Déu De La Mercè,barcelona,80193,113,Psychiatric,Private Non-Profit (Church),41.43757808,2.16159396400008
Clínica  Solarium,barcelona,80193,44,Geriatrics and/or long-term care,Private Non-Profit (Church),41.417287984,2.13810024500003
Hospital De La Santa Creu I Sant Pau,barcelona,80193,644,General,Other Private Non-Profit,41.415131882,2.17587942700004
Nou Hospital Evangèlic,barcelona,80193,116,Geriatrics and/or long-term care,Other Private Non-Profit,41.4110174670001,2.15893362600002
Hospital De Nens De Barcelona,barcelona,80193,18,Pediatric,Other Private Non-Profit,41.3973090420001,2.17392121900002
Institut Guttmann,badalona,80155,152,Traumatology and/or rehabilitation,Other Private Non-Profit,41.480006449,2.23954200000003
Fundació Puigvert - Iuna,barcelona,80193,124,Other specialized,Other Private Non-Profit,41.4124119320001,2.17277744800003
Hestia Palau.,barcelona,80193,317,Geriatrics and/or long-term care,Private Non-Profit,41.410048085,2.17257820800006
Hospital Universitari Sagrat Cor,barcelona,80193,367,General,Private Non-Profit,41.3887331,2.14536417100004
Clínica Corachan,barcelona,80193,162,General,Private Non-Profit,41.39347961,2.13072146500002
Clínica Tres Torres,barcelona,80193,64,General,Private Non-Profit,41.3991997860001,2.12880084000005
Hospital Quirónsalud Barcelona,barcelona,80193,192,General,Private Non-Profit,41.4145485000001,2.13752700000003
Centre  Mèdic  Delfos,barcelona,80193,264,General,Private Non-Profit,41.4141030000001,2.14301040000004
Centre Mèdic Sant Jordi De Sant Andreu,barcelona,80193,57,General,Private Non-Profit,41.436230154,2.19294166200007
Hospital Plató,barcelona,80193,168,General,Private Non-Profit,41.4008869140001,2.14256009500002
Hospital Universitari Quirón Dexeus,barcelona,80193,170,General,Private Non-Profit,41.385281386,2.12607604500005
"Centro Médico Teknon,  Grupo Quironsalud",barcelona,80193,285,General,Private Non-Profit,41.4054552050001,2.12840858500005
Hospital  De  Barcelona,barcelona,80193,350,General,Private Non-Profit,41.389393012,2.12990314100006
Centre Hospitalari Policlínica Barcelona,barcelona,80193,28,General,Private Non-Profit,41.403252552,2.14962291100005
Centre D'Oftalmologia Barraquer,barcelona,80193,70,Ophthalmologic or ENT,Private Non-Profit,41.3969703000001,2.14584525200007
Hestia Duran I Reynals,"hospitalet de llobregat, l'",81017,428,Geriatrics and/or long-term care,Private Non-Profit,41.349815,2.12593938400005
"Serveis Clínics, S.A.",barcelona,80193,50,Geriatrics and/or long-term care,Private Non-Profit,41.4124619830001,2.13609010100004
Clínica Coroleu - Ssr Hestia.,barcelona,80193,74,Psychiatric,Private Non-Profit,41.4329652920001,2.18700268200007
Clínica Planas,barcelona,80193,26,Surgical,Private Non-Profit,41.3993151830001,2.11561227800007
Hospital Universitari Germans Trias I Pujol De Badalona,badalona,80155,516,General,Social Security,41.48129521,2.23781606400007
Hospital Municipal De Badalona,badalona,80155,140,General,Municipality,41.4506170160001,2.24588857700007
Centre Sociosanitari El Carme,badalona,80155,210,Geriatrics and/or long-term care,Municipality,41.4586066680001,2.23077505500004
Hospital Comarcal De Sant Bernabé,berga,80229,150,General,Public Entities,42.1060333680001,1.85237391300006
Hospital Comarcal Sant Jaume De Calella,calella,80351,233,General,Municipality,41.6186895120001,2.66391125800004
Hospital De Sant Joan De Déu.,esplugues de llobregat,80771,401,Maternal-infant,Private Non-Profit (Church),41.38367442,2.10140640500003
Clínica Nostra Senyora De Guadalupe,esplugues de llobregat,80771,159,Geriatrics and/or long-term care,Private Non-Profit,41.373078257,2.08362293700003
Hospital General De Granollers.,granollers,80961,306,General,Other Private Non-Profit,41.6137096350001,2.29051813500007
Hospital Universitari De Bellvitge,"hospitalet de llobregat, l'",81017,1022,General,Social Security,41.3452961140001,2.10479129700002
Hospital General De L'Hospitalet,"hospitalet de llobregat, l'",81017,89,General,Private Non-Profit (Red Cross),41.3744617090001,2.10651489500003
Fundació Sanitària Sant Josep,igualada,81022,145,Geriatrics and/or long-term care,Private Non-Profit,41.5826139390001,1.61911729800005
Hospital  De  Sant  Jaume,manlleu,81120,90,Geriatrics and/or long-term care,Other Private Non-Profit,42.0013364000001,2.28675692400003
Clínica Sant Josep,manresa,81136,95,General,Other Private Non-Profit,41.7227429650001,1.83182895000004
Centre Hospitalari.,manresa,81136,309,General,Other Private Non-Profit,41.7351428740001,1.82468379500006
Hospital De Sant Joan De Déu (Manresa),manresa,81136,280,General,Other Private Non-Profit,41.720115938,1.83915065600007
Hospital De Sant Andreu,manresa,81136,191,Geriatrics and/or long-term care,Other Private Non-Profit,41.725701481,1.82995241900005
Germanes Hospitalàries. Hospital Sagrat Cor,martorell,81141,488,Psychiatric,Private Non-Profit (Church),41.4907317620001,1.91287510400002
Fundació Hospital Sant Joan De Déu,martorell,81141,112,General,Other Private Non-Profit,41.4720640720001,1.92072562900006
"Centre Mèdic Molins, Sl",molins de rei,81234,177,Geriatrics and/or long-term care,Private Non-Profit (Church),41.41804038,2.01092833300004
Hospital De Mollet,mollet del vallès,81249,164,General,Autonomous Community,41.543718303,2.20246175900007
Hospital De Sabadell,sabadell,81878,861,General,Public Entities,41.5533268560001,2.11074609700006
"Benito Menni,Complex Assistencial En Salut Mental.",sant boi de llobregat,82009,774,Psychiatric,Private Non-Profit (Church),41.3499151890001,2.03829569300007
Parc Sanitari Sant Joan De Déu - Recinte Sant Boi.,sant boi de llobregat,82009,1065,General,Private Non-Profit (Church),41.349976633,2.03818852800003
Parc Sanitari Sant Joan De Déu - Hospital General,sant boi de llobregat,82009,246,General,Private Non-Profit (Church),41.3563472160001,2.03052222500003
Hospital De Sant Celoni.,sant celoni,82021,100,General,Other Private Non-Profit,41.6876394860001,2.48632366400005
Hospital Universitari General De Catalunya,sant cugat del vallès,82055,286,General,Private Non-Profit,41.4687280090001,2.03665952700004
Casal De Curació,vilassar de mar,82191,81,Geriatrics and/or long-term care,Other Private Non-Profit,41.501687082,2.38739236500004
Hospital Residència Sant Camil - Consorci Sanitari Del Garraf.,sant pere de ribes,82310,295,General,Private Non-Profit (Church),41.2538499880001,1.76613999400007
Centres Assistencials Dr. Emili Mira I López (Recinte Torribera).,santa coloma de gramenet,82457,454,Psychiatric,Autonomous Community,41.462396251,2.21333001600004
Fundació Hospital De L'Esperit Sant,santa coloma de gramenet,82457,177,General,Other Private Non-Profit,41.439224445,2.21079733100004
Hospital De Terrassa.,terrassa,82798,460,General,Public Entities,41.558555326,2.05520199900008
Hospital De Sant Llàtzer,terrassa,82798,77,Geriatrics and/or long-term care,Other Private Non-Profit,41.5629585470001,2.01709962400003
Hospital Universitari Mútua De Terrassa,terrassa,82798,534,General,Other Private Non-Profit,41.5635015220001,2.01659752600006
Hospital  Universitari De Vic,vic,82981,292,General,Public Entities,41.936365939,2.26094360800005
Clínica Sant Josep,vic,82981,21,General,Private Non-Profit (Church),41.9294950830001,2.26113118700005
Hospital De La Santa Creu,vic,82981,127,Geriatrics and/or long-term care,Other Private Non-Profit,41.928397547,2.25213599000006
Hospital De Viladecans,viladecans,83015,110,General,Social Security,41.3124723110001,2.01397313000007
Hospital Sant Antoni Abat - Consorci Sanitari Del Garraf.,vilanova i la geltrú,83073,111,Geriatrics and/or long-term care,Other Private Non-Profit,41.228743115,1.72300218400005
Centre Sociosanitari Can Torras,alella,80039,119,Geriatrics and/or long-term care,Other Private Non-Profit,41.484694023,2.29828617900006
Hestia Maresme,mataró,81213,125,Geriatrics and/or long-term care,Private Non-Profit,41.5358764050001,2.44422911500004
Prytanis Sant Boi Centre Sociosanitari,sant boi de llobregat,82009,122,Geriatrics and/or long-term care,Private Non-Profit,41.348793932,2.04120307000005
Centre Sociosanitari Verge Del Puig,sant celoni,82021,40,Geriatrics and/or long-term care,Other Private Non-Profit,41.6911209990001,2.48585930200005
Residència L'Estada,sant andreu de llavaneres,81976,60,Geriatrics and/or long-term care,Private Non-Profit,41.56797419,2.49229708800004
Residència Puig-Reig,puig-reig,81751,30,Geriatrics and/or long-term care,Other Private Non-Profit,41.9781191820001,1.87948173300003
Residència Santa Susanna,caldes de montbui,80333,64,Geriatrics and/or long-term care,Other Private Non-Profit,41.6307870000001,2.16401400000007
Hospital De Mataró,mataró,81213,402,General,Autonomous Community,41.555597182,2.43030160600006
Hospital Universitari Vall D'Hebron,barcelona,80193,1315,General,Social Security,41.4276414340001,2.14164638800003
Centre Polivalent Can Fosc,"ametlla del vallès, l'",80057,56,Geriatrics and/or long-term care,Autonomous Community,41.6622691260001,2.27332958800002
Hospital Sociosanitari Mutuam Güell,barcelona,80193,167,Geriatrics and/or long-term care,Private Non-Profit,41.4113206270001,2.15676266200006
"Mútua De Granollers, Mútua De Previsió Social A Prima Fixa",granollers,80961,20,General,Private Non-Profit,41.6073015000001,2.28941100000003
Hospital Comarcal De L'Alt Penedès.,vilafranca del penedès,83054,144,General,Autonomous Community,41.3564879520001,1.70436918300004
Àptima Centre Clínic - Mútua De Terrassa,terrassa,82798,70,General,Private Non-Profit,41.5635015220001,2.01659752600006
Institut Català D'Oncologia - Hospital Duran I Reynals,"hospitalet de llobregat, l'",81017,126,Oncological,Autonomous Community,41.344924307,2.11117079800005
Sar Mont Martí,puig-reig,81751,20,Geriatrics and/or long-term care,Private Non-Profit,41.9550525940001,1.87131500000004
Regina Sar,barcelona,80193,12,Geriatrics and/or long-term care,Private Non-Profit,41.4090521140001,2.14957188100004
Centre Vallparadís,terrassa,82798,81,Geriatrics and/or long-term care,Other Private Non-Profit,41.5648907280001,2.01660961200002
Ita Maresme,argentona,80095,77,Other specialized,Private Non-Profit,41.5489737840001,2.39601855100005
Clínica Llúria,barcelona,80193,40,Psychiatric,Private Non-Profit,41.3924929,2.15987221900002
Antic Hospital De Sant Jaume I Santa Magdalena,mataró,81213,70,Geriatrics and/or long-term care,Public Entities,41.5396972140001,2.44885690200005
Parc Sanitari Sant Joan De Déu - Numància,barcelona,80193,159,Psychiatric,Other Private Non-Profit,41.3813705050001,2.14125100100006
Prytanis Hospitalet Centre Sociosanitari,"hospitalet de llobregat, l'",81017,104,Geriatrics and/or long-term care,Private Non-Profit,41.3642542000001,2.13003411300002
Comunitat Terapèutica Arenys De Munt,arenys de munt,80076,42,Psychiatric,Private Non-Profit,41.620505,2.53148284700006
Hospital Sociosanitari Pere Virgili,barcelona,80193,366,Geriatrics and/or long-term care,Public Entities,41.415848613,2.14207002600006
Benito Menni Complex Assistencial En Salut Mental,granollers,80961,30,Psychiatric,Private Non-Profit (Church),41.613547263,2.29179322600004
Hospital  Sanitas Cima,barcelona,80193,83,General,Private Non-Profit,41.3910109170001,2.12365918900002
Parc Sanitari Sant Joan De Deu - Brians 1.,sant esteve sesrovires,82080,150,General,Autonomous Community,41.5034867680001,1.88302869500006
Institut Català D'Oncologia - Hospital Germans Trias I Pujol,badalona,80155,36,Oncological,Public Entities,41.478603795,2.22919372500007
Centre Collserola Mutual,barcelona,80193,34,Geriatrics and/or long-term care,Private Non-Profit,41.4350104810001,2.14706349200003
Centre Sociosanitari Sarquavitae Sant Jordi,cornellà de llobregat,80734,51,Geriatrics and/or long-term care,Other Private Non-Profit,41.3581965400001,2.06464944800007
Hospital General Penitenciari,terrassa,82798,32,General,Autonomous Community,41.556818929,2.05310753900005
Centre Sociosanitari De L'Hospitalet - Consorci Sanitari Integral,"hospitalet de llobregat, l'",81017,123,Geriatrics and/or long-term care,Private Non-Profit (Red Cross),41.373773665,2.10633190000004
Sar La Salut Josep Servat,barcelona,80193,56,Geriatrics and/or long-term care,Private Non-Profit,41.413709829,2.15716762500006
Clínica Creu Blanca,barcelona,80193,51,General,Private Non-Profit,41.398264919,2.11825506900004
Hestia Gràcia,barcelona,80193,153,Geriatrics and/or long-term care,Private Non-Profit,41.4102245760001,2.16214781500003
Centre Sociosanitari D'Esplugues,esplugues de llobregat,80771,131,Geriatrics and/or long-term care,Other Private Non-Profit,41.3827458380001,2.08487642000006
Centre Sociosanitari Ricard Fortuny,vilafranca del penedès,83054,187,Geriatrics and/or long-term care,Public Entities,41.339919229,1.70516714000007
Centre Residencial Amma Diagonal,barcelona,80193,5,Geriatrics and/or long-term care,Private Non-Profit,41.403961184,2.19523661300002
Centre Fòrum,barcelona,80193,223,Geriatrics and/or long-term care,Public Entities,41.4129792680001,2.21812594400006
Centre Sociosanitari Blauclínic Dolors Aleu,barcelona,80193,174,Geriatrics and/or long-term care,Public Entities,41.4063868150001,2.14810789400002
Parc Sanitari Sant Joan De Déu - Til·Lers,mollet del vallès,81249,10,Psychiatric,Autonomous Community,41.352989516,2.03386476700007
Clínica Galatea,barcelona,80193,22,Psychiatric,Private Non-Profit,41.41077848,2.11343932200003
Hospital D'Igualada,igualada,81022,280,General,Public Entities,41.588104421,1.61971021900007
Centre Social I Sanitari Frederica Montseny,viladecans,83015,76,Geriatrics and/or long-term care,Public Entities,41.3216555980001,2.01799699400004
Parc Sanitari Sant Joan De Deu-Serveis Sanitaris Centre Penitenciari Brians-2,sant esteve sesrovires,82080,152,General,Autonomous Community,41.4829211410001,1.87441500000006
Centre Integral De Serveis En Salut Mental Comunitària,barcelona,80193,25,Psychiatric,Private Non-Profit,41.4062084070001,2.15577737600006
Centre Sociosanitari Sant Jordi De La Vall D'Hebron,barcelona,80193,57,Geriatrics and/or long-term care,Other Private Non-Profit,41.4305539000001,2.14476586700005
"Lepant Residencial Qgg, Sl",barcelona,80193,10,Geriatrics and/or long-term care,Private Non-Profit,41.4113749000001,2.16745930300004
Mapfre Quavitae Barcelona,barcelona,80193,38,Geriatrics and/or long-term care,Private Non-Profit,41.4100999070001,2.17288571500006
Unitat Polivalent Salut Mental Barcelona-Nord,barcelona,80193,52,Psychiatric,Private Non-Profit (Church),41.42525291,2.14074683600006
"Cqm Clínic Maresme, Sl",mataró,81213,10,General,Private Non-Profit,41.5358764050001,2.44422911500004
Serveis Sanitaris La Roca Del Valles 2,"roca del vallès, la",81810,34,General,Autonomous Community,41.5985150000001,2.33607477700002
Clínica Del Vallès,sabadell,81878,107,General,Private Non-Profit,41.532266178,2.11824141900007
Centre Gerontològic Amma Sant Cugat,sant cugat del vallès,82055,4,Geriatrics and/or long-term care,Private Non-Profit,41.4840486310001,2.08544127600004
Serveis Sanitaris Sant Joan De Vilatorrada,sant joan de vilatorrada,82188,56,General,Autonomous Community,41.74519538,1.80985323700003
Centre Sociosanitari Stauros,barcelona,80193,49,Geriatrics and/or long-term care,Private Non-Profit,41.4406977470001,2.16193712800003
Hospital De Sant Joan Despí Moisès Broggi,sant joan despí,82172,328,General,Public Entities,41.3661809750001,2.05232515200004
Amma Horta,barcelona,80193,5,Geriatrics and/or long-term care,Private Non-Profit,41.434944667,2.14862283100007
Unitat Polivalent Benito Menni En Salut Mental De L'Hospitalet-El Prat De Llobregat,"hospitalet de llobregat, l'",81017,35,Psychiatric,Private Non-Profit (Church),41.3693682430001,2.10531679100006
Ita Maresme,barcelona,80193,56,Other specialized,Private Non-Profit,41.3970621130001,2.14886336400002
Centre Sociosanitari Del Centre Integral De Salut Cotxeres,barcelona,80193,209,Geriatrics and/or long-term care,Autonomous Community,41.426419637,2.17632730500003
Clínica Sant Antoni,barcelona,80193,224,Geriatrics and/or long-term care,Private Non-Profit,41.356076805,2.14325702400004
Clínica Diagonal,esplugues de llobregat,80771,98,General,Other Private Non-Profit,41.3788186190001,2.09653111800003
Hospital Sociosanitari De Mollet,mollet del vallès,81249,109,Geriatrics and/or long-term care,Other Private Non-Profit,41.541136072,2.21139796300002
