cmun,municipality,province,altitude,longitude,latitude,Koppen_Climate,description
3060,Quatretondeta,Alicante,622.546,-0.3159135,38.72365,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3061,Daya Nueva,Alicante,8.224919,-0.7592378,38.11316,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3062,Daya Vieja,Alicante,6.833565,-0.7387287,38.10484,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3063,Dénia,Alicante,11.78009,0.1085751,38.84043,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3064,Dolores,Alicante,9.227216,-0.7692993,38.14058,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3066,Elda,Alicante,413.189,-0.7904639,38.47803,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
3068,Famorca,Alicante,691.6473,-0.2463927,38.73206,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3069,Finestrat,Alicante,261.4681,-0.2107335,38.56909,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3070,Formentera del Segura,Alicante,10.79573,-0.7453506,38.08562,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3071,Gata de Gorgos,Alicante,85.46293,0.0812124,38.77425,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3072,Gaianes,Alicante,414.3354,-0.4103162,38.81155,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3073,Gorga,Alicante,555.8732,-0.3560984,38.72056,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3074,Granja de Rocamora,Alicante,18.04087,-0.8909073,38.15253,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3075,"Castell de Guadalest, el",Alicante,555.7478,-0.198618,38.67644,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3076,Guardamar del Segura,Alicante,26.48124,-0.651254,38.08615,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3077,"Fondó de les Neus, el/Hondón de las Nieves",Alicante,493.7399,-0.9341582,38.30504,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
3078,Hondón de los Frailes,Alicante,418.041,-0.9276314,38.27319,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
3079,Ibi,Alicante,753.7646,-0.5713521,38.62551,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3080,Jacarilla,Alicante,27.33402,-0.8686115,38.06133,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3081,Xaló,Alicante,196.9115,-0.0120761,38.73989,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3084,"Orxa, l'/Lorcha",Alicante,273.9026,-0.309963,38.84306,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3085,Llíber,Alicante,185.6137,0.0063282,38.74273,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3086,Millena,Alicante,634.1902,-0.3638289,38.73058,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
